,popularity,budget,revenue,original_title,cast,director,runtime,genres,production_companies,vote_count,vote_average,release_year,release_day,release_month,season
631,12.971027000000001,170000000,714766572,Captain America: The Winter Soldier,Chris Evans,Joe Russo|Anthony Russo,136,Action,Marvel Studios,3848,7.6,2014,Thursday,March,Spring
632,11.422751,20000000,78739897,John Wick,Keanu Reeves,Chad Stahelski|David Leitch,101,Action,Thunder Road Pictures,2712,7.0,2014,Wednesday,October,Fall
633,10.739009,125000000,752100229,The Hunger Games: Mockingjay - Part 1,Jennifer Lawrence,Francis Lawrence,123,Science Fiction,Lionsgate,3590,6.6,2014,Tuesday,November,Fall
634,10.174599,250000000,955119788,The Hobbit: The Battle of the Five Armies,Martin Freeman,Peter Jackson,144,Adventure,WingNut Films,3110,7.1,2014,Wednesday,December,Winter
635,8.691294000000001,165000000,652105443,Big Hero 6,Scott Adsit,Don Hall|Chris Williams,102,Adventure,Walt Disney Pictures,4185,7.8,2014,Friday,October,Fall
636,8.110711,14000000,233555708,The Imitation Game,Benedict Cumberbatch,Morten Tyldum,113,History,Black Bear Pictures,3478,8.0,2014,Friday,November,Fall
637,7.1372729999999995,34000000,348319861,The Maze Runner,Dylan O'Brien,Wes Ball,113,Action,Ingenious Media,3425,7.0,2014,Wednesday,September,Fall
639,6.438727,61000000,369330363,Gone Girl,Ben Affleck,David Fincher,145,Mystery,Twentieth Century Fox Film Corporation,3720,7.9,2014,Wednesday,October,Fall
642,6.14502,85000000,288747895,Divergent,Shailene Woodley,Neil Burger,139,Action,Summit Entertainment,3038,6.9,2014,Friday,March,Spring
643,6.052479,250000000,746000000,X-Men: Days of Future Past,Hugh Jackman,Bryan Singer,131,Action,Twentieth Century Fox Film Corporation,4006,7.6,2014,Thursday,May,Spring
644,5.947136,40000000,463360063,Lucy,Scarlett Johansson,Luc Besson,89,Action,Universal Pictures,3699,6.3,2014,Monday,July,Summer
645,5.787396,125000000,477200000,Teenage Mutant Ninja Turtles,Megan Fox,Jonathan Liebesman,101,Science Fiction,Paramount Pictures,1836,5.8,2014,Thursday,August,Summer
647,5.522641,8500000,38697217,Nightcrawler,Jake Gyllenhaal,Dan Gilroy,117,Crime,Bold Films,2087,7.6,2014,Thursday,October,Fall
648,4.983782,210000000,245500000,Transformers: Age of Extinction,Mark Wahlberg,Michael Bay,165,Science Fiction,Paramount Pictures,2161,5.9,2014,Wednesday,June,Summer
650,4.780419,3300000,13993093,Whiplash,Miles Teller,Damien Chazelle,105,Drama,Bold Films,2372,8.2,2014,Friday,October,Fall
654,4.101979,200000000,705717432,The Amazing Spider-Man 2,Andrew Garfield,Marc Webb,142,Action,Columbia Pictures,2813,6.6,2014,Wednesday,April,Spring
655,3.990452,178000000,370541256,Edge of Tomorrow,Tom Cruise,Doug Liman,113,Action,Village Roadshow Pictures,3267,7.7,2014,Tuesday,May,Spring
657,3.8630739999999997,58800000,542307423,American Sniper,Bradley Cooper,Clint Eastwood,134,War,Village Roadshow Pictures,3004,7.5,2014,Thursday,December,Winter
658,3.81374,140000000,268031828,Exodus: Gods and Kings,Christian Bale,Ridley Scott,153,Adventure,Scott Free Productions,1377,5.6,2014,Wednesday,December,Winter
659,3.689601,160000000,529076069,Godzilla,Aaron Taylor-Johnson,Gareth Edwards,123,Action,Toho Company,2169,6.2,2014,Wednesday,May,Spring
660,3.5823150000000004,180000000,758410378,Maleficent,Angelina Jolie,Robert Stromberg,97,Fantasy,Walt Disney Pictures,2928,7.0,2014,Wednesday,May,Spring
661,3.573028,15000000,32556119,The November Man,Pierce Brosnan,Roger Donaldson,108,Crime,Irish Dreamtime,481,6.0,2014,Wednesday,August,Summer
663,3.4891059999999996,145000000,609123048,How to Train Your Dragon 2,Jay Baruchel,Dean DeBlois,102,Fantasy,DreamWorks Animation,2152,7.7,2014,Thursday,June,Summer
665,3.34625,90000000,206172544,The Expendables 3,Sylvester Stallone,Patrick Hughes,127,Action,Davis-Films,1275,6.2,2014,Monday,August,Summer
666,3.3277989999999997,60000000,469160692,The Lego Movie,Will Arnett,Phil Lord|Christopher Miller,100,Adventure,Village Roadshow Pictures,2268,7.5,2014,Thursday,February,Winter
668,3.260581,95000000,114178613,Seventh Son,Jeff Bridges,Sergey Bodrov,102,Adventure,Legendary Pictures,675,5.1,2014,Friday,December,Winter
673,2.996038,50000000,212902372,Into the Woods,Meryl Streep,Rob Marshall,125,Fantasy,Walt Disney Pictures,1095,5.6,2014,Thursday,December,Winter
674,2.979181,110000000,337580051,300: Rise of an Empire,Sullivan Stapleton,Noam Murro,102,Action,Legendary Pictures,1664,6.1,2014,Wednesday,March,Spring
675,2.881991,25000000,66980456,The Giver,Jeff Bridges,Phillip Noyce,94,Drama,The Weinstein Company,1151,6.3,2014,Monday,August,Summer
676,2.8050189999999997,50000000,188441614,22 Jump Street,Jonah Hill,Phil Lord|Christopher Miller,112,Crime,Columbia Pictures,2416,7.0,2014,Thursday,June,Summer
678,2.721864,55000000,259207227,Paddington,Nicole Kidman,Paul King,95,Comedy,The Weinstein Company,606,7.1,2014,Thursday,November,Fall
679,2.692691,7000000,2360281,Cake,Jennifer Aniston,Daniel Barnz,102,Drama,Echo Films,255,6.1,2014,Sunday,September,Fall
680,2.67235,11000000,45967935,Chef,Jon Favreau,Jon Favreau,115,Comedy,Open Road Films,866,7.2,2014,Thursday,May,Spring
682,2.601775,16000000,19682924,Left Behind,Nicolas Cage,Vic Armstrong,110,Thriller,Stoney Lake Entertainment,253,3.8,2014,Friday,October,Fall
684,2.576396,20000000,12007070,A Most Violent Year,Oscar Isaac,J.C. Chandor,125,Action,Participant Media,384,6.4,2014,Tuesday,December,Winter
686,2.526779,125000000,362637473,Noah,Russell Crowe,Darren Aronofsky,139,Drama,Paramount Pictures,1589,5.5,2014,Thursday,March,Spring
687,2.523101,50000000,83719388,The Judge,Robert Downey Jr.,David Dobkin,141,Drama,Village Roadshow Pictures,974,7.2,2014,Wednesday,October,Fall
692,2.303556,45000000,86165646,Step Up All In,Ryan Guzman,Trish Sie,112,Romance,Summit Entertainment,421,6.7,2014,Wednesday,July,Summer
698,2.160156,20000000,11110975,Inherent Vice,Joaquin Phoenix,Paul Thomas Anderson,148,Comedy,Ghoulardi Film Company,552,6.3,2014,Thursday,December,Winter
705,1.9407349999999999,120000000,239379423,RoboCop,Joel Kinnaman,Jos̩ Padilha,102,Science Fiction,Columbia Pictures,1709,5.7,2014,Thursday,January,Winter
710,1.840817,65000000,39407616,Sin City: A Dame to Kill For,Mickey Rourke,Frank Miller|Robert Rodriguez,102,Crime,Miramax Films,857,6.2,2014,Wednesday,August,Summer
712,1.8116919999999999,103000000,500188435,Rio 2,Jesse Eisenberg,Carlos Saldanha,102,Animation,Blue Sky Studios,659,6.5,2014,Wednesday,March,Spring
715,1.7798610000000001,70000000,154984035,The Monuments Men,Matt Damon,George Clooney,118,War,Columbia Pictures,1083,5.7,2014,Friday,January,Winter
716,1.769987,65000000,163442937,Unbroken,Jack O'Connell,Angelina Jolie,137,Drama,Legendary Pictures,981,7.2,2014,Thursday,December,Winter
727,1.542392,13000000,54837234,St. Vincent,Bill Murray,Theodore Melfi,102,Comedy,The Weinstein Company,531,7.1,2014,Thursday,October,Fall
738,1.319416,4000000,600896,The Signal,Brenton Thwaites,William Eubank,95,Thriller,Automatik Entertainment,400,5.8,2014,Saturday,March,Spring
743,1.240895,50000000,151165787,Planes: Fire & Rescue,Dane Cook,Roberts Gannaway,83,Animation,Walt Disney Pictures,223,5.9,2014,Thursday,July,Summer
750,1.146492,13200000,53830415,No Good Deed,Idris Elba,Sam Miller,84,Thriller,Sony Pictures,105,5.8,2014,Friday,September,Fall
752,1.1403020000000001,5000000,40100000,"As Above, So Below",Perdita Weeks,John Erick Dowdle,93,Horror,Legendary Pictures,501,6.1,2014,Thursday,August,Summer
762,1.0181149999999999,6500000,255273813,Annabelle,Annabelle Wallis,John R. Leonetti,99,Horror,New Line Cinema,827,5.6,2014,Thursday,October,Fall
765,0.989916,65000000,71154592,"I, Frankenstein",Aaron Eckhart,Stuart Beattie,92,Horror,Lakeshore Entertainment,501,5.1,2014,Wednesday,January,Winter
770,0.9678459999999999,2000000,6676471,The Babadook,Essie Davis,Jennifer Kent,93,Drama,South Australian Film Corporation,1089,6.5,2014,Thursday,May,Spring
780,0.92537,60000000,30800231,Winter's Tale,Colin Farrell,Akiva Goldsman,118,Drama,Village Roadshow Pictures,327,5.9,2014,Thursday,February,Winter
788,0.8931209999999989,22500000,15520023,The Water Diviner,Russell Crowe,Russell Crowe,112,War,Hopscotch Features,287,6.8,2014,Thursday,December,Winter
792,0.8765139999999989,28000000,100654149,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Steve Carell,Miguel Arteta,81,Family,Walt Disney Pictures,380,6.2,2014,Wednesday,October,Fall
801,0.8058390000000001,8500000,7500000,Big Game,Samuel L. Jackson,Jalmari Helander,90,Action,Head Gear Films,261,5.2,2014,Friday,September,Fall
805,0.7863979999999989,25000000,38307627,Million Dollar Arm,Jon Hamm,Craig Gillespie,124,Drama,Walt Disney Pictures,182,6.6,2014,Friday,May,Spring
813,0.7517729999999989,6000000,3485127,Veronica Mars,Kristen Bell,Rob Thomas,107,Comedy,Warner Bros.,323,6.3,2014,Thursday,March,Spring
818,0.728025,6000000,15071,Barefoot,Evan Rachel Wood,Andrew Fleming,90,Comedy,WhiteFlame Productions,129,6.5,2014,Sunday,February,Winter
819,0.72546,3500000,5155325,Justice League: War,Michelle Monaghan,Jay Oliva,79,Animation,DC Comics,141,7.0,2014,Sunday,February,Winter
820,0.722877,8500000,770706,The Zero Theorem,Christoph Waltz,Terry Gilliam,107,Drama,Le Pacte,232,5.7,2014,Thursday,January,Winter
831,0.688179,2000000,48390,Decoding Annie Parker,Samantha Morton,Steven Bernstein,91,Drama,Media House Capital,23,5.2,2014,Friday,May,Spring
856,0.599079,36000000,52424533,Dolphin Tale 2,Morgan Freeman,Charles Martin Smith,107,Family,Alcon Entertainment,63,6.8,2014,Friday,September,Fall
881,0.540852,12000000,101332962,Heaven is for Real,Greg Kinnear,Randall Wallace,99,Drama,TriStar Pictures,159,6.1,2014,Wednesday,April,Spring
940,0.407983,6000000,32251,Song One,Anne Hathaway,Kate Barker-Froyland,86,Drama,Worldview Entertainment,58,5.7,2014,Monday,January,Winter
954,0.386307,5000000,10429707,Moms' Night Out,Sarah Drew,Andrew Erwin|Jon Erwin,98,Comedy,TriStar Pictures,92,5.7,2014,Tuesday,March,Spring
976,0.350612,25000000,39171130,The Gambler,Mark Wahlberg,Rupert Wyatt,111,Thriller,Paramount Pictures,405,5.6,2014,Thursday,December,Winter
1023,0.300442,17000000,29789000,God's Not Dead,Kevin Sorbo,Harold Cronk,113,Drama,Pure Flix Entertainment,146,6.1,2014,Friday,March,Spring
1329,12.037933,11000000,775398007,Star Wars,Mark Hamill,George Lucas,121,Adventure,Lucasfilm,4428,7.9,1977,Sunday,March,Spring
1330,2.379469,14000000,185438673,The Spy Who Loved Me,Roger Moore,Lewis Gilbert,125,Adventure,Eon Productions,279,6.2,1977,Thursday,July,Summer
1386,9.432768,237000000,2781505847,Avatar,Sam Worthington,James Cameron,162,Action,Ingenious Film Partners,8458,7.1,2009,Thursday,December,Winter
1387,6.098027,70000000,319131050,Inglourious Basterds,Brad Pitt,Quentin Tarantino,153,Drama,Universal Pictures,3969,7.7,2009,Tuesday,August,Summer
1389,5.076472,250000000,933959197,Harry Potter and the Half-Blood Prince,Daniel Radcliffe,David Yates,153,Adventure,Warner Bros.,3220,7.3,2009,Tuesday,July,Summer
1390,4.9089019999999906,175000000,731342744,Up,Ed Asner,Bob Peterson|Pete Docter,96,Animation,Walt Disney Pictures,4225,7.6,2009,Wednesday,May,Spring
1392,3.7896330000000003,200000000,371353001,Terminator Salvation,Christian Bale,McG,115,Drama,Columbia Pictures,1670,5.8,2009,Wednesday,May,Spring
1393,3.7449559999999997,30000000,210819611,District 9,Sharlto Copley,Neill Blomkamp,112,Action,WingNut Films,2141,7.1,2009,Wednesday,August,Summer
1394,3.4315589999999996,90000000,524028679,Sherlock Holmes,Robert Downey Jr.,Guy Ritchie,128,Adventure,Village Roadshow Pictures,4118,6.9,2009,Wednesday,January,Winter
1395,3.244139,7500000,60722734,(500) Days of Summer,Joseph Gordon-Levitt,Marc Webb,95,Comedy,Fox Searchlight Pictures,1778,7.3,2009,Friday,July,Summer
1397,3.15306,35000000,459270619,The Hangover,Bradley Cooper,Todd Phillips,100,Comedy,Legendary Pictures,4134,7.1,2009,Friday,June,Summer
1399,2.9797860000000003,200000000,769653595,2012,John Cusack,Roland Emmerich,158,Action,Columbia Pictures,3533,5.6,2009,Saturday,October,Fall
1401,2.8415619999999997,150000000,356613439,Angels & Demons,Tom Hanks,Ron Howard,138,Thriller,Columbia Pictures,1275,6.3,2009,Wednesday,May,Spring
